country,year,date,confirmed_case,recovered_case,recovered_percent
Afghanistan,2020,2020-12-31,51526,41727,80.98241664402438
Afghanistan,2021,2021-05-29,70111,57281,81.70044643493888
Albania,2020,2020-12-31,58316,33634,57.675423554427596
Albania,2021,2021-05-29,132297,129215,97.67039313060765
Algeria,2020,2020-12-31,99610,67127,67.38982029916674
Algeria,2021,2021-05-29,128456,89419,69.61060596624526
Andorra,2020,2020-12-31,8049,7432,92.33445148465648
Andorra,2021,2021-05-29,13693,13416,97.9770685751844
Angola,2020,2020-12-31,17553,11044,62.91801971173019
Angola,2021,2021-05-29,34180,27646,80.88355763604447
Antigua and Barbuda,2020,2020-12-31,159,148,93.08176100628931
Antigua and Barbuda,2021,2021-05-29,1259,1206,95.79030976965845
Argentina,2020,2020-12-31,1625514,1426676,87.76768456008377
Argentina,2021,2021-05-29,3732263,3288467,88.10919809241739
Armenia,2020,2020-12-31,159409,142801,89.58151672741188
Armenia,2021,2021-05-29,222555,212752,95.5952461189369
Australia,2020,2020-12-31,28425,22565,79.38434476693051
Australia,2021,2021-05-29,30096,23579,78.34595959595958
Austria,2020,2020-12-31,360815,332952,92.27776007095049
Austria,2021,2021-05-29,644207,627672,97.43327843379535
Azerbaijan,2020,2020-12-31,218700,184422,84.32647462277092
Azerbaijan,2021,2021-05-29,333723,323617,96.97174003589804
Bahamas,2020,2020-12-31,7871,6230,79.15131495362724
Bahamas,2021,2021-05-29,11745,10642,90.60876968922946
Bahrain,2020,2020-12-31,92675,90217,97.34772052872943
Bahrain,2021,2021-05-29,235698,205962,87.38385561184228
Bangladesh,2020,2020-12-31,513510,457459,89.08473057973555
Bangladesh,2021,2021-05-29,797386,737408,92.47817242840983
Barbados,2020,2020-12-31,383,319,83.28981723237598
Barbados,2021,2021-05-29,4012,3922,97.7567298105683
Belarus,2020,2020-12-31,194284,175147,90.14998661752898
Belarus,2021,2021-05-29,392629,383380,97.64434109553802
Belgium,2020,2020-12-31,646496,31130,4.815188338365589
Belgium,2021,2021-05-29,1059763,31130,2.9374492221374027
Belize,2020,2020-12-31,10776,9795,90.89643652561247
Belize,2021,2021-05-29,12791,12378,96.77116722695645
Benin,2020,2020-12-31,3251,3061,94.15564441710244
Benin,2021,2021-05-29,8058,7893,97.95234549516009
Bhutan,2020,2020-12-31,670,448,66.86567164179105
Bhutan,2021,2021-05-29,1603,1241,77.41734248284466
Bolivia,2020,2020-12-31,160124,132097,82.49669006519947
Bolivia,2021,2021-05-29,366714,291325,79.44201748501557
Bosnia and Herzegovina,2020,2020-12-31,110985,77225,69.5814749740956
Bosnia and Herzegovina,2021,2021-05-29,203839,174236,85.4772639190734
Botswana,2020,2020-12-31,14805,12136,81.97230665315772
Botswana,2021,2021-05-29,53771,50494,93.90563686745644
Brazil,2020,2020-12-31,7675973,6848844,89.2244409926924
Brazil,2021,2021-05-29,16471600,14496224,88.00738240365234
Brunei,2020,2020-12-31,157,149,94.90445859872611
Brunei,2021,2021-05-29,241,228,94.6058091286307
Bulgaria,2020,2020-12-31,202266,119527,59.09396537233148
Bulgaria,2021,2021-05-29,418221,380359,90.94689171514581
Burkina Faso,2020,2020-12-31,6707,5100,76.03995825257194
Burkina Faso,2021,2021-05-29,13430,13248,98.64482501861505
Burma,2020,2020-12-31,124630,107069,85.90949209660596
Burma,2021,2021-05-29,143526,132297,92.17633042096902
Burundi,2020,2020-12-31,818,687,83.98533007334963
Burundi,2021,2021-05-29,4715,773,16.394485683987277
Cabo Verde,2020,2020-12-31,11840,11559,97.6266891891892
Cabo Verde,2021,2021-05-29,30273,28320,93.5487067684075
Cambodia,2020,2020-12-31,378,362,95.76719576719577
Cambodia,2021,2021-05-29,28825,21315,73.94622723330441
Cameroon,2020,2020-12-31,26277,24892,94.72923088632645
Cameroon,2021,2021-05-29,78929,35261,44.67432756021234
Canada,2020,2020-12-31,584409,493638,84.46789833832128
Canada,2021,2021-05-29,1384373,1322602,95.53798000972282
Central African Republic,2020,2020-12-31,4963,1924,38.7668748740681
Central African Republic,2021,2021-05-29,7085,6665,94.07198306280875
Chad,2020,2020-12-31,2113,1704,80.64363464268813
Chad,2021,2021-05-29,4928,4742,96.22564935064936
Chile,2020,2020-12-31,608973,577382,94.81241368664949
Chile,2021,2021-05-29,1369597,1295499,94.58979539236725
China,2020,2020-12-31,95963,89923,93.70590748517658
China,2021,2021-05-29,102960,97737,94.92715617715618
